input_company_name,input_main_country,input_main_region,input_main_city,company_name,main_country,main_region,main_city,long_description,main_industry,website_domain,website_url,country_match,region_match,city_match,name_keyword_match,name_count_keyword,description_keyword_match
aalborg city,denmark,north denmark region,aalborg,aalborg city,denmark,north denmark region,aalborg,"så er du til god mad, shopping og livlig stemning, så er aalborg city helt sikkert noget for dig.",government,aalborgcity.dk,https://aalborgcity.dk/,True,True,True,True,4,True
aalborg city,denmark,north denmark region,aalborg,aalborg city gymnasium,denmark,north denmark region,aalborg,"en 2-årig stx giver dig de samme muligheder, som hvis du tog den på et almindeligt gymnasium - på aalborg city gymnasium bliver du bare hurtigere færdig.",education,aalborgcitygymnasium.dk,https://www.aalborgcitygymnasium.dk/,True,True,True,True,4,True
aalborg city,denmark,north denmark region,aalborg,aalborg city cup,denmark,north denmark region,aalborg,"denne enestående lokation er centrum for 3 dage med en international oplevelse, med mange spændende kampe på banerne omkring freja parkens moderne klubhus. turneringen finder sted i udkanten af aalborg, men der er masser af tid til at besøge det smukke centrum af aalborg hvor der er masser af ting af se nærmere på. we are all looking forward to bring back the joy and exitement in one of the biggest tournaments in denmark. vålerenga fotball (no).",entertainment,aalborg-citycup.dk,https://www.aalborg-citycup.dk/,True,True,True,True,4,True
abc kantineautomater aps,denmark,capital region of denmark,høje-taastrup municipality,abc kids,denmark,capital region of denmark,gentofte municipality,abc kids er fysisk butik med cykler på lager. abc kids er en dansk butik med eget lager af puky og typisk kan afhentes samme dag eller afsendes samme dag. hos abc kids får du altid. grundig information om forskelle og ligheder på produkter og udstyr. fysisk butik med lager strandvejen 209. 2900 hellerup.,"party, toys & games",abckids.dk,https://www.abckids.dk/,True,True,False,True,2,True
accenture services as,norway,viken,bærum,accenture norge,norway,oslo,oslo,,business consulting,accenture.no,https://www.accenture.no/,True,False,False,True,2,False
acome,france,ile-de-france,paris,acome company a cooperative,france,ile-de-france,paris,"technological flagship of the french industry, specialist in high-tech cables in the automotive and data networks markets, acome is a major player in the industry of cables, optical fibers and synthesis tubes. with a total revenue of €534 millions in 2019 and close to 2,000 employees in france, germany, italy, china, brazil and morocco, the group generates more than 50% of its business internationally.",electrical & electronic equipment,acome.com,https://www.acome.com/en,True,True,True,True,2,True
"acome xintai cables co., ltd.",china,shandong,xintai,qingdao acome machinery co. ltd.,china,shandong,qingdao,"acome, ar-ge, üretim ve satış ile teknoloji yenilik işletmelerinden biri olan profesyonel bir sonsuz stee lbelt üreticisidir. çin'in shandong eyaleti, qingdao şehrinde bulunmaktadır. kaynak, kesme, ısıl işlem, ptfe kaplama, elmas tozu kaplama ve metal malzemeler. gelişmiş işleme teknolojisine, hammaddelere ve yeteneklere dayanan acome, profesyonel olarak sonsuz çelik konveyör bantları, şerit testereler, ultra ince borular gibi metal sarf malzemeleri ve bileşenleri üretme eğilimindedir. çeşitli endüstriyel uygulamalar için elmas aletler ve hassas işlenmiş parçalar. acome'un otomotiv, makine, tekstil, ilaç, gıda, kimya, kozmetik, iletişim elektroniği, yeni enerji, yeni malzeme ve diğer alanlarda yer alan ürünleri. acome machinery co.,ltd. (acome) is a professional endless stee lbelt manufacturer, which is one of technology innovation enterprises with r&d,production and sales.it's located in qingdao city,shandong province,china.acome has four own manufacturing factories,which brings many experts and technologies of machining,welding,cutting,heat treatment,ptfe coating, diamond-powder coating and metal materials.",machinery parts,acometech.com,https://www.acometech.com/,True,True,False,True,2,True
adapt a/s,denmark,capital region of denmark,copenhagen,adapt agency,denmark,capital region of denmark,copenhagen,"digital mastery and passion since 1998.we craft digital experiences that help brands give people more than they expect. mastering design, development, delivery and optimization makes us the one-stop agency for all your digital needs. here, digital excellence is a habit. we're a tight-knit group of experts, committed to creating a better digital reality for everyone. fun, guaranteed.",marketing & advertising agencies,adaptagency.com,https://adaptagency.com/,True,True,True,True,8,True
adecco a/s,denmark,capital region of denmark,kongens lyngby,thomas møgelberg,denmark,capital region of denmark,kongens lyngby,"du kan også føle du er et sted i dit liv, hvor du ikke føler dig hjemme i dig selv og generelt føler en længsel efter noget ""udefinerbart og meningsfuldt"". et forløb i jungiansk psykoterapi giver dig selvindsigt og forståelse af hvem du er samt i samspillet mellem dig og dine omgivelser. jeg tilbyder jungiansk psykoterapi hvor vi tager udgangspunkt i dine aktuelle behov. udnytte egne kompetencer og ressourcer. finde tilbage til din egen ro og livsglæde.",mental health specialists,tmoegelberg.dk,https://tmoegelberg.dk/,True,True,True,True,2,True
adecco personnel pte ltd,singapore,,,adecco singapore,singapore,central,singapore,"for more than 35 years, adecco provides a comprehensive array of hr solutions and consulting services which includes mid to staff level talent acquisition, contract recruitment, outsourcing, field sales and marketing as well as payroll services. our expertise includes accounting & finance, admin & secretarial, banking, digital & ecommerce, education & legal, engineering, events, healthcare & life sciences, human resources, information technology, retail, sales & marketing and supply chain & logistics.",hr services,adecco.com.sg,http://www.adecco.com.sg/,True,False,False,True,2,True
adobe systems software ireland limited,ireland,leinster,dublin,adobe systems software ireland,ireland,leinster,dublin 24,,software & it services,,,True,True,False,True,4,False
advanced digital broadcast sa,switzerland,geneva,bellevue,advanced digital broadcast holdings sa.,switzerland,geneva,pregny-chambésy,"adb is a one-stop shop offering innovative and high-quality full system solutions for content distributors, tv operators and property owners, who want to deliver best-in-class video and broadband services to their customers.",telecommunication services,adbholdings.com,https://www.adbholdings.com/,True,True,False,True,4,False
advanced network solutions sdn bhd,malaysia,selangor,shah alam,advanced network solutions sdn. bhd.,malaysia,selangor,shah alam,,,,,True,True,True,True,3,False
advansia as,norway,oslo,oslo,advansia,norway,oslo,oslo,"advansia tilbyr et bredt spekter av tjenester innen prosjektledelse, digitalisering, sikkerhet og strategisk rådgivning for å møte våre kunders behov for en helhetlig tilnærming - enten det er å sikre en effektiv og trygg gjennomføring av et prosjekt eller lykkes med å utvikle sin virksomhet. vi er 700 dedikerte og modige lagspillere som er involvert i et mangfold av prosjekter og oppdrag av stor samfunnsmessig betydning innen offentlig sektor, energi og industri. besøk vår webside for mer informasjon og for å se ledige stillinger og muligheter hos oss. advansia er et selskap i afry norge. afry norge er en ingeniør- og arkitektvirksomhet innenfor bygg, infrastruktur, energi og industri. tjenesteområdene inkluderer rådgivning innen prosjektutvikling, prosjektledelse, prosjektering, arkitektur, lysdesign og digitale løsninger. selskapet har rundt 1100 ansatte med kontorer i oslo, trondheim, stavanger, molde, ålesund, lillestrøm, sarpsborg, kristiansand, sandefjord, bodø og tromsø.",engineering services,advansia.no,https://www.advansia.no/,True,True,True,True,2,True
aeger group as,norway,oslo,oslo,aeger group,norway,oslo,oslo,"specialists in securing risk-exposed assets and establishing preparedness. the asoc is a 24/7 operations centre that provides you with the necessary safety and security arrangements before, during and after any travel or work abroad. we provide 24/7 guidance and assistance to users through up-to-date information, incident management, and follow-up. - informing staff and management - track & trace staff - management dashboard - alert response and support to travellers - multichannel two-way communication - mass notification – i'm ""ok"" button - automated check-ins - completely adaptable around your organization and security policy. we provide relevant information, risk intelligence, itinerary updates, safety, security, and medical content for over 230 countries and regions worldwide directly on a user's phone. locate employee or group of employees. we offer integrated securing solutions that appropriately allocate resources to establish security and risk management as a business enabler.",software & it services,aeger.no,https://www.aeger.no/,True,True,True,True,3,True
aeon danmark a/s,denmark,region of southern denmark,vejle,jansson el,denmark,region of southern denmark,vejle,"f.eks. dit foretrukne sprog, eller den region, du befinder dig i. få mere at vide om denne udbyder c.gif indsamler data om brugerens navigation og adfærd på hjemmesiden. få mere at vide om denne udbyder lastexternalreferrer identificere hvordan brugeren har tilgået siden ved at registrere hvilken hjemmeside brugeren kommer fra. maksimal opbevaringstid : permanent type : lokalt html-lager lastexternalreferrertime identificere hvordan brugeren har tilgået siden ved at registrere hvilken hjemmeside brugeren kommer fra. få mere at vide om denne udbyder #-# benyttes til indsamling data omhandlende brugerens interaktion med indlejret indhold. last_result_entry_key benyttes til indsamling data omhandlende brugerens interaktion med indlejret indhold. maksimal opbevaringstid : permanent type : indexeddb remote_sid nødvendig for implementeringen og funtionaliteten af youtube video-indhold på hjemmesiden. serviceworkerlogsdatabase#swhealthlog nødvendig for implementeringen og funtionaliteten af youtube video-indhold på hjemmesiden.",entertainment,jansson.dk,https://jansson.dk/,True,True,True,True,6,True
affirmed networks inc,united states,massachusetts,acton,affirmed networks,united states,massachusetts,acton,"azure for operators: products, services and solutions built for the future of telecommunications. learn more. affirmed built a reputation by disrupting the mobile industry, delivering incredibly high performance, low-cost, virtualized 4g evolved packet core and cloud native 5g core network functions that could run anywhere. now part of microsoft azure for operators, we are leveraging the latest hybrid-edge cloud platforms, ai-driven automation, and advanced analytics services to further reduce operational costs and accelerate new revenue opportunities. our cloud-native mobile core is built on a distributed architecture, allowing you to converge 2g, 3g, 4g/lte & 5g networks on a single platform. with our fully managed private network service, operators can deliver the carrier-grade resiliency and security that enterprises require for industry 4.0 applications. affirmed's full-stack service orchestration and management platform helps you simplify the operation of any g network functions across hybrid, multivendor environments.",telecommunication services,affirmednetworks.com,https://www.affirmednetworks.com/,True,True,True,True,4,True
agg power technology (fuzhou) co ltd.,china,fujian,fuzhou city,agg power,china,fujian,fuzhou city,,electrical & electronic equipment,aggpower.cn,http://aggpower.cn/,True,True,True,True,4,False
aia berhad,malaysia,,kuala lumpur,aia malaysia,malaysia,kuala lumpur,kuala lumpur,"visit aia malaysia for reliable life insurance and protection products for both individuals supporting family, and businesses supporting staff.",insurance,aia.com.my,https://www.aia.com.my/,True,False,True,True,2,True
aig europe s.a. nuf,norway,oslo,oslo,bertel o. steen kapital,norway,oslo,oslo,"our dedicated team of professionals work closely with the portfolio companies to identify and capitalize on growth opportunities, mitigate risks, and enhance overall performance.",investment firms & consultants,boskapital.com,https://www.boskapital.com/,True,True,True,True,6,True
aktieselskabet rodovre centrum,denmark,capital region of denmark,rødovre municipality,rødovre centrum,denmark,capital region of denmark,rødovre municipality,vi har naturligvis gratis parkering. vind tivoli-tur for hele familien. danmarkspremiere på eventyrskov med talende træer.,other durable products,roedovrecentrum.dk,https://roedovrecentrum.dk/,True,True,True,True,2,False
allen overy shearman sterling llp,united kingdom,england,london,shearman & sterling,united kingdom,england,london,"shearman & sterling llp is a multinational law firm headquartered in new york city, united states. the firm's lawyers come from some 80 countries, speak more than 60 languages and practice us, english, eu, french, spanish, german, hong kong, ohada and saudi law, as well as dubai international financial centre law and abu dhabi global market law. nearly one-half of the firm's lawyers practice outside the united states.",lawyers,aoshearman.com,https://www.aoshearman.com/en,True,True,True,True,3,True
altair global relocation singapore pte. ltd.,singapore,central,singapore,altair aesthetic,singapore,central,singapore,"we formulate and produce our own branded products for private label, revov can also provide you with private labelling & custom formulation services to develop your own products either by having one of our products under your brand name or by formulating a totally new product from scratch. our design services include logo, label, and package creation for your unique business. let our professional private label designers help you develop product brand that speaks for you. our expertise in custom formulation development is a critical differentiator and we will help you to identify the right mix of ingredients and the optimal delivery system for your skin & hair care products. our formulation process is systematically analyzed, controlled and tested to ensure product effectiveness & success. our experts have the ability to turn your concept into a reality with our extensive r&d, the bespoke manufacturing facilities, knowledge & science in korea. our scientists and group of doctors are constantly involved in research and development to find better formulas and higher quality ingredients to improve products quality.",cosmetic products,altairaesthetic.com,https://altairaesthetic.com/,True,True,True,True,2,False
"amazon web services emea sarl, norwegian branch",norway,oslo,oslo,norwegian seafood supply,norway,oslo,oslo,"get latest price for live norwegian red king crab. get all your seafood needs from norwegian seafood supply. buy king crab from norwegian seafood supply, the leading supplier of live red king crabs and other fresh seafood in norway. with 5 years of experience, we have successfully shipped over 1.5 million kg of king crabs and various seafood products. trust norwegian seafood supply for your next seafood purchase and enjoy the finest and freshest seafood available, including live king crabs, salmon, and lobster. explore the finest and freshest seafood at norwegian seafood supply, including live king crabs, salmon fish, and lobster. shop now for a delectable dining experience!"". indulge in the finest selection of frozen seafood with our premium king crab price, salmon fish, and lobster. shop online now for the best quality seafood products. choose the best from the sea with our top-quality norwegian seafood supply. order now and experience true oceanic delicacies. get the freshest king crab and seafood from norway - order now from #1 seller.","meat, poultry & dairy",norwegian-seafoodsupply.com,https://norwegian-seafoodsupply.com/,True,True,True,True,2,True
"amazon web services, inc.",united states,washington,seattle,amazon web services | api gateway,united states,washington,seattle,"amazon api gateway is a fully managed service that makes it easy for developers to create, publish, maintain, monitor, and secure apis at any scale. apis act as the ""front door"" for applications to access data, business logic, or functionality from your backend services. using api gateway, you can create restful apis and web
socket apis that enable real-time two-way communication applications. api gateway supports containerized and serverless workloads, as well as web applications. api gateway handles all the tasks involved in accepting and processing up to hundreds of thousands of concurrent api calls, including traffic management, cors support, authorization and access control, throttling, monitoring, and api version management. api gateway has no minimum fees or startup costs. you pay for the api calls you receive and the amount of data transferred out and, with the api gateway tiered pricing model, you can reduce your cost as your api usage scales.",software & it services,,,True,True,True,True,3,True
"american express europe denmark, filial af american express europe s.a., spanien",denmark,capital region of denmark,copenhagen,american steakhouse,denmark,,,,restaurants,butcher.dk,https://butcher.dk/,True,False,False,True,7,False
american express europe sa (norway),norway,oslo,oslo,american express company as,norway,oslo,oslo,,banks & financial services,americanexpress.no,http://www.americanexpress.no/?opi=79508299&sa=u&ved=0ahukewij-n_liksmaxx2tgwghzrzercq61gieigo&usg=aovvaw27wloj6gx0wm9ekmxssfgk,True,True,True,True,4,False
andco a/s,denmark,capital region of denmark,copenhagen,andco a/s.,denmark,capital region of denmark,copenhagen,,marketing & advertising agencies,andco.dk,https://www.andco.dk/,True,True,True,True,6,False
annalect denmark a/s,denmark,capital region of denmark,copenhagen,annalect,denmark,capital region of denmark,copenhagen,"at annalect solutions, we harness the power of data-driven marketing to empower our clients. our mission is to deepen their understanding of customers and elevate the effectiveness of their outreach strategies. as a proud member of the omnicom media group, we bring cutting-edge insights and innovative solutions to the forefront of the marketing landscape, ensuring our clients stay ahead in today's dynamic business environment. our purpose is to guide our clients in making informed marketing decisions by utilizing data and technology to transform marketing into a driver of business growth. leveraging our expertise in data, analytics, technology, and consulting, we deliver actionable insights and measurable business outcomes. adform is a digital advertising platform that offers tools for managing, serving, and tracking online ad campaigns. google is a search engine that helps users find information on the web. it also offers various services like email (gmail), cloud storage (google drive), maps (google maps), and an office suite (google workspace).",marketing & advertising agencies,annalect-data.info,https://annalect-data.info/,True,True,True,True,8,True
anne mette lund,denmark,region of southern denmark,haderslev,anne mette høy,denmark,region of southern denmark,vejle,,mental health specialists,mindre-stress.dk,http://mindre-stress.dk/?opi=79508299&sa=u&ved=0ahukewi4mfasm-smaxvfe1kfhs_hlhoq61gieigp&usg=aovvaw21si8ojlgk9_li2awt-kf8,True,True,False,True,2,False
aon assessment denmark a/s,denmark,capital region of denmark,copenhagen,daman,denmark,capital region of denmark,copenhagen,"welcome to the future of digital healthcare. digital services will revolutionize healthcare in the near future. we want to drive the change so that chronic patients can experience the same quality of life as any other person. we believe that empowering patients through our digital tools will lead to better and more efficient treatments. thus, we provide services for all members of the healthcare system in partnerships with patient advocacy groups, hospitals, pharma, and leading healthcare professionals.",software & it services,damandigital.com,https://www.damandigital.com/,True,True,True,True,5,True
aon norway as,norway,oslo,oslo,aon assessment norge,norway,oslo,oslo,"aon assessment (tidl. cut-e) eies av rådgivingsselskapet aon. vi kartlegger totalt mer enn 30 millioner mennesker hvert år, i 90 land og på over 40 språk. i norge er vi den markedsledende leverandøren av innovative kartleggingsverktøy, gamifiserte tester og tiltreknings- og utviklingsløsninger. vi tilbyr et bredt spekter av kartleggingsløsninger, herunder personlighetstester, evne- og ferdighetstester, 360-vurdering og kartleggingsverktøy for ledergrupper. utover dette utvikler vi også assessmentsentere, jobber med lederutvikling, holder kurs innen områdene arbeidspsykologiske tester, rekrutteringsmetodikk og intervjuteknikk, og deltar i faglige fora. vi støtter opp om hr-avdelingers beslutninger og hjelper dem med å ansette rett person på en rettferdig, ryddig og vitenskapelig måte, der mange ellers kan være fristet til å følge magefølelsen.",hr services,,,True,True,True,True,2,True
apple distribution international limited,ireland,munster,cork,apple distribution international,ireland,munster,cork,,,,,True,True,True,True,3,False
apple malaysia sdn. bhd.,malaysia,kuala lumpur,kuala lumpur,apple 101,malaysia,kuala lumpur,kuala lumpur,,travel agencies,apple101.com.my,http://apple101.com.my/,True,True,True,True,2,False
apple south asia (thailand) co ltd,thailand,bangkok,bangkok,asia biogas,thailand,bangkok,pathum wan,"the asia biogas team is committed to making an outsized and direct contribution to tackling climate change by designing excellent, cost-effective biogas systems and maximising biogas production from agricultural and organic waste. asia biogas has decades of experience design and building anaerobic digestion biogas systems in southeast asia. we operate the systems that we build: our experience as a biogas plant operator is an advantage for our epc clients. we have unfccc-registered certified emission reductions available for sale for carbon offset purposes. we offer impact carbon offset buyers a promise: we will re-invest 100% of carbon revenues in biogas systems thereby maximizing impact. we have a long history of developing biogas projects in the cassava starch and palm oil industries on a build own operate transfer basis. in 2002 we completed thailand's first cassava starch wastewater bot project – korat waste to energy. our focus in indonesia and malaysia is to help palm oil mills to capture methane and produce biogas.",renewable energy,asiabiogas.com,http://www.asiabiogas.com/,True,True,False,True,2,True
apple south asia (thailand) co ltd,thailand,bangkok,bangkok,apple zeed,thailand,bangkok,wang thonglang,บริการรับทำเว็บไซต์ website สำหรับบริษัททัวร์ ที่ได้รับความวางใจมากว่า 100 บริษัททัวร์ apple zeed,digital agencies,applezeed.com,https://applezeed.com/,True,True,False,True,2,True
arelion ab,sweden,stockholm county,stockholm,arelion,sweden,stockholm county,farsta,"arelion, formerly named telia carrier and teliasonera international carrier (tsic), is a provider of telecommunication services based in solna, sweden. arelion is a tier 1 network provider, assigned autonomous system number as1299. since 2021, the name twelve99 is also used in technical contexts.",telecommunication services,arelion.com,https://arelion.com/,True,True,False,True,2,True
arelion norway as,norway,oslo,oslo,mixto as,norway,oslo,oslo,"enten du ønsker å kjøpe produkter, oppleve en demonstrasjon av thermomix, trenger teknisk support eller har andre spørsmål, så er vi her for å hjelpe! showroom, butikk og serviceavdeling kan hjelpe deg med alle din thermomix henvendelser. vennligst se vår nettbutikk for mer detaljert informasjon eller kontakt vår kundeservice på kundeservice@mixto.no eller vårt showroom på telefon 21 42 06 06. vi gjør oppmerksom reduserte åpningstider/sommeråpent fra uke 21: torsdag 10-18 og fredag 08-16.",commercial equipment & supplies,mixto.no,https://www.mixto.no/,True,True,True,True,1,True
ary communications limited,pakistan,sindh,karachi,ary news,pakistan,sindh,karachi division,"ary news is a pakistani news channel launched on 26 september 2004 with the name ""ary one"", the channel was later renamed to ""ary one world"" until may 2009 when it was rebranded as ""ary news"". a bilingual news channel in english and urdu, it is a part of the ary digital network, which is a subsidiary of ary group. ary is an acronym of abdul razzak yaqoob and salman iqbal, who was the owner of ary group. ary news is biggest and most watched news channel in pakistan and all around the world. ary head office located in karachi, pakistan.",media companies,arynews.tv,http://arynews.tv/,True,True,False,True,2,True
"ascio technologies, corp. danmark - filial af ascio technologies corp. canada",denmark,capital region of denmark,gentofte municipality,ascio technologies,denmark,capital region of denmark,copenhagen,"be it technical partner support, or strategic advice on tlds, we tailor it for your needs. ascio technologies is an icann accredited domain registrar and responsible for the provision of domain portfolio management services indirectly through more than 600 domain partners. these partners are based all over the world and they primarily include medium sized or larger telecom operators, webhosting companies, internet access providers and ip law firms. we work exclusively with premium partners, with a clear focus on providing the premium quality and exceptional service domain professionals need. ascio technologies was founded in 1999, and is an icann accredited domain registrar. ascio manages a total of more than two million domain names and is responsible for the provision of domain portfolio management services indirectly through more than 600 domain partners. we work exclusively with premium partners, with a clear focus on providing the premium quality and exceptional service domain professionals need. ""ascio is passionate about providing our partners with industry leading domain portfolio management structure, freeing up partner resources to focus on giving their customers an even better service.",telecommunication services,ascio.com,https://www.ascio.com/,True,True,False,True,6,True
